"V","I"
-5.0,-0.0005009999999999999
-4.9,-0.00049
-4.8,-0.000479
-4.7,-0.00046899999999999996
-4.6,-0.00045999999999999996
-4.5,-0.00045
-4.4,-0.00043999999999999996
-4.3,-0.00043
-4.2,-0.000419
-4.1,-0.00040899999999999997
-4.0,-0.00039999999999999996
-3.9,-0.00039
-3.8,-0.00037999999999999997
-3.7,-0.00037
-3.5999999999999996,-0.00035999999999999997
-3.5,-0.00035
-3.4,-0.00033999999999999997
-3.3,-0.00033
-3.2,-0.00031999999999999997
-3.0999999999999996,-0.00031
-3.0,-0.0003
-2.9,-0.00029
-2.8,-0.00028
-2.6999999999999997,-0.00027
-2.5999999999999996,-0.00026
-2.5,-0.00025
-2.4,-0.00023999999999999998
-2.3,-0.00022999999999999998
-2.1999999999999997,-0.00021999999999999998
-2.0999999999999996,-0.00020999999999999998
-2.0,-0.00020099999999999998
-1.9,-0.00019099999999999998
-1.7999999999999998,-0.00018099999999999998
-1.6999999999999997,-0.00017099999999999998
-1.5999999999999996,-0.00016099999999999998
-1.5,-0.00015099999999999998
-1.4,-0.00014099999999999998
-1.2999999999999998,-0.00013099999999999999
-1.1999999999999997,-0.000121
-1.0999999999999996,-0.000111
-1.0,-0.0001012
-0.8999999999999995,-9.109999999999999e-05
-0.7999999999999998,-8.099999999999999e-05
-0.7000000000000002,-7.08e-05
-0.5999999999999996,-6.0899999999999996e-05
-0.5,-5.0799999999999995e-05
-0.39999999999999947,-4.06e-05
-0.2999999999999998,-3.05e-05
-0.1999999999999993,-2.0399999999999998e-05
-0.09999999999999964,-9.85e-06
0.0,9.5e-08
0.10000000000000053,2.051e-06
0.20000000000000018,2.02e-05
0.3000000000000007,3.0299999999999998e-05
0.40000000000000036,4.03e-05
0.5,5.05e-05
0.6000000000000005,6.07e-05
0.7000000000000002,7.08e-05
0.8000000000000007,8.09e-05
0.9000000000000004,9.099999999999999e-05
1.0,0.00010109999999999999
1.1000000000000005,0.0001113
1.2000000000000002,0.0001214
1.3000000000000007,0.0001314
1.4000000000000004,0.0001416
1.5,0.0001518
1.6000000000000005,0.00016199999999999998
1.7000000000000002,0.0001719
1.8000000000000007,0.0001819
1.9000000000000004,0.0001919
2.0,0.00020099999999999998
2.1000000000000005,0.00021099999999999998
2.2,0.00022099999999999998
2.3000000000000007,0.00022999999999999998
2.4000000000000004,0.00024099999999999998
2.5,0.00025
2.6000000000000005,0.00026
2.7,0.000271
2.8000000000000007,0.00028
2.9000000000000004,0.00029099999999999997
3.0,0.000301
3.0999999999999996,0.00031
3.200000000000001,0.000321
3.3000000000000007,0.00033
3.4000000000000004,0.00033999999999999997
3.5,0.00035
3.5999999999999996,0.00035999999999999997
3.700000000000001,0.00037
3.8000000000000007,0.00037999999999999997
3.9000000000000004,0.00039
4.0,0.00039999999999999996
4.1,0.000412
4.200000000000001,0.00042199999999999996
4.300000000000001,0.000432
4.4,0.000441
4.5,0.00045099999999999996
4.600000000000001,0.000461
4.700000000000001,0.000472
4.800000000000001,0.00048199999999999995
4.9,0.0004919999999999999
5.0,0.000502
