"V","I"
-5.0,-0.0005009999999999999
-4.9,-0.000489
-4.8,-0.000479
-4.7,-0.00046899999999999996
-4.6,-0.000459
-4.5,-0.00045
-4.4,-0.000439
-4.3,-0.00042899999999999997
-4.2,-0.000419
-4.1,-0.00040899999999999997
-4.0,-0.000399
-3.9,-0.00038899999999999997
-3.8,-0.000379
-3.7,-0.00036899999999999997
-3.5999999999999996,-0.000359
-3.5,-0.00035
-3.4,-0.000339
-3.3,-0.00033
-3.2,-0.00031999999999999997
-3.0999999999999996,-0.00031
-3.0,-0.000299
-2.9,-0.000289
-2.8,-0.000279
-2.6999999999999997,-0.00027
-2.5999999999999996,-0.00026
-2.5,-0.00025
-2.4,-0.00023999999999999998
-2.3,-0.00022999999999999998
-2.1999999999999997,-0.00021999999999999998
-2.0999999999999996,-0.00020999999999999998
-2.0,-0.00020099999999999998
-1.9,-0.00019099999999999998
-1.7999999999999998,-0.00018099999999999998
-1.6999999999999997,-0.00017099999999999998
-1.5999999999999996,-0.00016099999999999998
-1.5,-0.00015099999999999998
-1.4,-0.00014099999999999998
-1.2999999999999998,-0.00013099999999999999
-1.1999999999999997,-0.000121
-1.0999999999999996,-0.000111
-1.0,-0.00010109999999999999
-0.8999999999999995,-9.109999999999999e-05
-0.7999999999999998,-8.09e-05
-0.7000000000000002,-7.08e-05
-0.5999999999999996,-6.0899999999999996e-05
-0.5,-5.0799999999999995e-05
-0.39999999999999947,-4.06e-05
-0.2999999999999998,-3.05e-05
-0.1999999999999993,-2.0399999999999998e-05
-0.09999999999999964,-9.84e-06
0.0,9.2e-08
0.10000000000000053,2.051e-06
0.20000000000000018,2.02e-05
0.3000000000000007,3.0299999999999998e-05
0.40000000000000036,4.03e-05
0.5,5.04e-05
0.6000000000000005,6.0599999999999996e-05
0.7000000000000002,7.07e-05
0.8000000000000007,8.08e-05
0.9000000000000004,9.09e-05
1.0,0.000101
1.1000000000000005,0.00011119999999999999
1.2000000000000002,0.0001213
1.3000000000000007,0.0001313
1.4000000000000004,0.0001414
1.5,0.0001516
1.6000000000000005,0.0001618
1.7000000000000002,0.0001718
1.8000000000000007,0.0001817
1.9000000000000004,0.0001917
2.0,0.00020099999999999998
2.1000000000000005,0.00020999999999999998
2.2,0.00022099999999999998
2.3000000000000007,0.00022999999999999998
2.4000000000000004,0.00023999999999999998
2.5,0.00025
2.6000000000000005,0.00026
2.7,0.00027
2.8000000000000007,0.00028
2.9000000000000004,0.00029
3.0,0.0003
3.0999999999999996,0.00031
3.200000000000001,0.00031999999999999997
3.3000000000000007,0.00033
3.4000000000000004,0.00033999999999999997
3.5,0.00035
3.5999999999999996,0.00035999999999999997
3.700000000000001,0.00037
3.8000000000000007,0.00037999999999999997
3.9000000000000004,0.00039
4.0,0.00039999999999999996
4.1,0.00041099999999999996
4.200000000000001,0.000421
4.300000000000001,0.00043099999999999996
4.4,0.000441
4.5,0.00045099999999999996
4.600000000000001,0.000461
4.700000000000001,0.00047099999999999996
4.800000000000001,0.000481
4.9,0.000491
5.0,0.0005009999999999999
