"V","I"
-5.0,-1.22e-05
-4.9,-4.1e-09
-4.8,-4.3000000000000005e-09
-4.7,-4.4000000000000005e-09
-4.6,-4.4000000000000005e-09
-4.5,-4.3000000000000005e-09
-4.4,-4.1e-09
-4.3,-4e-09
-4.2,-3.8e-09
-4.1,-3.6e-09
-4.0,-1.75e-08
-3.9,-1.69e-08
-3.8,-1.6100000000000002e-08
-3.7,-1.55e-08
-3.5999999999999996,-1.48e-08
-3.5,-1.4000000000000001e-08
-3.4,-1.33e-08
-3.3,-1.26e-08
-3.2,-1.19e-08
-3.0999999999999996,-1.1200000000000001e-08
-3.0,-1.04e-08
-2.9,-9.700000000000001e-09
-2.8,-8.9e-09
-2.6999999999999997,-8.1e-09
-2.5999999999999996,-7.3e-09
-2.5,-6.5e-09
-2.4,-5.7000000000000006e-09
-2.3,-4.8e-09
-2.1999999999999997,-3.9e-09
-2.0999999999999996,-3e-09
-2.0,-7.3e-09
-1.9,-5.9e-09
-1.7999999999999998,-4.4000000000000005e-09
-1.6999999999999997,-2.6e-09
-1.5999999999999996,-7.000000000000001e-10
-1.5,2e-09
-1.4,6.86e-08
-1.2999999999999998,8.24e-08
-1.1999999999999997,9.27e-08
-1.0999999999999996,1.01e-07
-1.0,1.0880000000000001e-07
-0.8999999999999995,1.149e-07
-0.7999999999999998,1.208e-07
-0.7000000000000002,1.262e-07
-0.5999999999999996,1.31e-07
-0.5,1.3690000000000001e-07
-0.39999999999999947,1.435e-07
-0.2999999999999998,1.504e-07
-0.1999999999999993,1.573e-07
-0.09999999999999964,1.65e-07
0.0,1.721e-07
0.10000000000000053,1.809e-07
0.20000000000000018,1.9220000000000001e-07
0.3000000000000007,1.7100000000000001e-06
0.40000000000000036,1.446e-06
0.5,1.288e-06
0.6000000000000005,1.119e-06
0.7000000000000002,1.0310000000000002e-06
0.8000000000000007,9.19e-07
0.9000000000000004,8.780000000000001e-07
1.0,8.57e-07
1.1000000000000005,8.480000000000001e-07
1.2000000000000002,8.26e-07
1.3000000000000007,8.170000000000001e-07
1.4000000000000004,7.95e-07
1.5,8.18e-07
1.6000000000000005,8.46e-07
1.7000000000000002,8.750000000000001e-07
1.8000000000000007,8.98e-07
1.9000000000000004,9.160000000000001e-07
2.0,9.230000000000001e-07
2.1000000000000005,9.64e-07
2.2,1.015e-06
2.3000000000000007,1.0560000000000001e-06
2.4000000000000004,1.097e-06
2.5,1.122e-06
2.6000000000000005,1.162e-06
2.7,1.19e-06
2.8000000000000007,1.2080000000000001e-06
2.9000000000000004,9.61e-07
3.0,1.009e-06
3.0999999999999996,1.0670000000000001e-06
3.200000000000001,1.1120000000000001e-06
3.3000000000000007,1.151e-06
3.4000000000000004,1.181e-06
3.5,8.000000000000001e-07
3.5999999999999996,8.39e-07
3.700000000000001,9.140000000000001e-07
3.8000000000000007,9.630000000000001e-07
3.9000000000000004,9.68e-07
4.0,1.017e-06
4.1,4.89e-06
4.200000000000001,4e-06
4.300000000000001,4.04e-06
4.4,4.1e-06
4.5,4.65e-06
4.600000000000001,4.9900000000000005e-06
4.700000000000001,5.49e-06
4.800000000000001,5.92e-06
4.9,6.39e-06
5.0,6.83e-06
